# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.0 Build 132 02/25/2009 SJ Web Edition
# File: C:\Users\ea924\Downloads\VGA_640x480_m4k\VGA_m4k\DE2_70_TOP.csv
# Generated on: Mon Jul 06 19:50:53 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,PCB layer
,Unknown,PIN_AE3,1,B1_N3,,,,,
,Unknown,PIN_AE4,1,B1_N3,,,,,
,Unknown,PIN_AF3,1,B1_N3,,,,,
,Unknown,PIN_AF4,1,B1_N3,,,,,
,Unknown,PIN_AA9,1,B1_N3,,,,,
,Unknown,PIN_AA10,1,B1_N3,,,,,
,Unknown,PIN_AB7,1,B1_N3,,,,,
,Unknown,PIN_AC7,1,B1_N3,,,,,
,Unknown,PIN_AD6,1,B1_N3,,,,,
,Unknown,PIN_AD7,1,B1_N3,,,,,
,Unknown,PIN_AB8,,,,,,,
,Unknown,PIN_AB9,,,,,,,
,Unknown,PIN_AC8,,,,,,,
,Unknown,PIN_AC9,,,,,,,
,Unknown,PIN_AC10,,,,,,,
,Unknown,PIN_AE8,8,B8_N3,,,,,
,Unknown,PIN_AE7,8,B8_N3,,,,,
,Unknown,PIN_AG4,8,B8_N3,,,,,
,Unknown,PIN_AG5,8,B8_N3,,,,,
,Unknown,PIN_AH5,8,B8_N3,,,,,
,Unknown,PIN_AG6,8,B8_N3,,,,,
,Unknown,PIN_AF7,8,B8_N3,,,,,
,Unknown,PIN_AG8,8,B8_N2,,,,,
,Unknown,PIN_AF8,8,B8_N2,,,,,
,Unknown,PIN_AH7,8,B8_N2,,,,,
,Unknown,PIN_AG7,,,,,,,
,Unknown,PIN_AF9,,,,,,,
,Unknown,PIN_AK6,8,B8_N2,,,,,
,Unknown,PIN_AD10,,,,,,,
,Unknown,PIN_AK7,8,B8_N2,,,,,
,Unknown,PIN_AF10,,,,,,,
,Unknown,PIN_AD11,8,B8_N2,,,,,
,Unknown,PIN_AF11,8,B8_N2,,,,,
,Unknown,PIN_AE11,,,,,,,
,Unknown,PIN_AK8,8,B8_N2,,,,,
,Unknown,PIN_AJ8,,,,,,,
,Unknown,PIN_AH9,,,,,,,
,Unknown,PIN_AG9,8,B8_N1,,,,,
,Unknown,PIN_AE12,,,,,,,
,Unknown,PIN_AD12,8,B8_N1,,,,,
,Unknown,PIN_AH10,8,B8_N1,,,,,
,Unknown,PIN_AG10,,,,,,,
,Unknown,PIN_AK9,,,,,,,
,Unknown,PIN_AJ9,,,,,,,
,Unknown,PIN_AK10,8,B8_N1,,,,,
,Unknown,PIN_AJ10,,,,,,,
,Unknown,PIN_AF12,,,,,,,
,Unknown,PIN_AK11,,,,,,,
,Unknown,PIN_AJ11,8,B8_N1,,,,,
,Unknown,PIN_AE13,8,B8_N1,,,,,
,Unknown,PIN_AD13,8,B8_N1,,,,,
,Unknown,PIN_AH12,8,B8_N0,,,,,
,Unknown,PIN_AG12,8,B8_N0,,,,,
,Unknown,PIN_AK12,,,,,,,
,Unknown,PIN_AJ12,,,,,,,
,Unknown,PIN_AG13,8,B8_N0,,,,,
,Unknown,PIN_AG14,,,,,,,
,Unknown,PIN_AF14,,,,,,,
,Unknown,PIN_AF15,8,B8_N0,,,,,
,Unknown,PIN_AE15,8,B8_N0,,,,,
,Unknown,PIN_AJ13,8,B8_N0,,,,,
,Unknown,PIN_AH13,,,,,,,
,Unknown,PIN_AK14,,,,,,,
,Unknown,PIN_AJ14,8,B8_N0,,,,,
,Unknown,PIN_AJ15,8,B8_N0,,,,,
,Unknown,PIN_AH15,8,B8_N0,,,,,
,Unknown,PIN_AG15,,,,,,,
,Unknown,PIN_AH14,8,B8_N0,,,,,
,Unknown,PIN_AC15,,,,,,,
,Unknown,PIN_AJ16,,,,,,,
,Unknown,PIN_AH16,7,B7_N3,,,,,
,Unknown,PIN_AE16,7,B7_N3,,,,,
,Unknown,PIN_AD16,7,B7_N3,,,,,
,Unknown,PIN_AC16,7,B7_N3,,,,,
,Unknown,PIN_AG16,,,,,,,
,Unknown,PIN_AF16,7,B7_N3,,,,,
,Unknown,PIN_AH17,7,B7_N3,,,,,
,Unknown,PIN_AG17,7,B7_N3,,,,,
,Unknown,PIN_AE17,7,B7_N3,,,,,
,Unknown,PIN_AK17,7,B7_N3,,,,,
,Unknown,PIN_AJ17,7,B7_N3,,,,,
,Unknown,PIN_AD17,7,B7_N2,,,,,
,Unknown,PIN_AC17,7,B7_N2,,,,,
,Unknown,PIN_AJ18,,,,,,,
,Unknown,PIN_AH18,7,B7_N2,,,,,
,Unknown,PIN_AK19,,,,,,,
,Unknown,PIN_AJ19,7,B7_N2,,,,,
,Unknown,PIN_AF17,,,,,,,
,Unknown,PIN_AK20,,,,,,,
,Unknown,PIN_AJ20,7,B7_N2,,,,,
,Unknown,PIN_AH19,7,B7_N2,,,,,
,Unknown,PIN_AG19,7,B7_N2,,,,,
,Unknown,PIN_AF18,,,,,,,
,Unknown,PIN_AG18,,,,,,,
,Unknown,PIN_AD18,7,B7_N2,,,,,
,Unknown,PIN_AC18,7,B7_N2,,,,,
,Unknown,PIN_AK21,7,B7_N2,,,,,
,Unknown,PIN_AJ21,7,B7_N2,,,,,
,Unknown,PIN_AG20,7,B7_N2,,,,,
,Unknown,PIN_AF20,7,B7_N2,,,,,
,Unknown,PIN_AK22,7,B7_N2,,,,,
,Unknown,PIN_AJ22,,,,,,,
,Unknown,PIN_AB18,7,B7_N1,,,,,
,Unknown,PIN_AB19,7,B7_N1,,,,,
,Unknown,PIN_AD19,,,,,,,
,Unknown,PIN_AC19,7,B7_N1,,,,,
,Unknown,PIN_AH20,7,B7_N1,,,,,
,Unknown,PIN_AE19,7,B7_N1,,,,,
,Unknown,PIN_AK23,7,B7_N1,,,,,
,Unknown,PIN_AJ23,7,B7_N1,,,,,
,Unknown,PIN_AK24,7,B7_N1,,,,,
,Unknown,PIN_AJ24,7,B7_N1,,,,,
,Unknown,PIN_AF21,7,B7_N1,,,,,
,Unknown,PIN_AE20,,,,,,,
,Unknown,PIN_AH22,7,B7_N1,,,,,
,Unknown,PIN_AG22,7,B7_N1,,,,,
,Unknown,PIN_AC20,7,B7_N1,,,,,
,Unknown,PIN_AD20,7,B7_N1,,,,,
,Unknown,PIN_AK25,7,B7_N0,,,,,
,Unknown,PIN_AJ25,,,,,,,
,Unknown,PIN_AG23,7,B7_N0,,,,,
,Unknown,PIN_AF22,7,B7_N0,,,,,
,Unknown,PIN_AK26,7,B7_N0,,,,,
,Unknown,PIN_AJ26,,,,,,,
,Unknown,PIN_AD22,,,,,,,
,Unknown,PIN_AH24,7,B7_N0,,,,,
,Unknown,PIN_AG24,7,B7_N0,,,,,
,Unknown,PIN_AG25,7,B7_N0,,,,,
,Unknown,PIN_AH26,7,B7_N0,,,,,
,Unknown,PIN_AD21,7,B7_N0,,,,,
,Unknown,PIN_AC21,,,,,,,
,Unknown,PIN_AK28,7,B7_N0,,,,,
,Unknown,PIN_AJ28,7,B7_N0,,,,,
,Unknown,PIN_AF23,7,B7_N0,,,,,
,Unknown,PIN_AF24,7,B7_N0,,,,,
,Unknown,PIN_AJ27,7,B7_N0,,,,,
,Unknown,PIN_AH27,,,,,,,
,Unknown,PIN_AG27,7,B7_N0,,,,,
,Unknown,PIN_AG26,7,B7_N0,,,,,
,Unknown,PIN_AE23,7,B7_N0,,,,,
,Unknown,PIN_AE24,7,B7_N0,,,,,
,Unknown,PIN_AD23,,,,,,,
,Unknown,PIN_AC22,,,,,,,
,Unknown,PIN_AA21,,,,,,,
,Unknown,PIN_AB22,,,,,,,
,Unknown,PIN_AA22,,,,,,,
,Unknown,PIN_AB23,6,B6_N3,,,,,
,Unknown,PIN_AB24,6,B6_N3,,,,,
,Unknown,PIN_AF27,,,,,,,
,Unknown,PIN_AF28,,,,,,,
,Unknown,PIN_AD26,6,B6_N3,,,,,
,Unknown,PIN_AD27,,,,,,,
,Unknown,PIN_AC25,6,B6_N3,,,,,
,Unknown,PIN_AG29,,,,,,,
,Unknown,PIN_AG28,6,B6_N3,,,,,
,Unknown,PIN_AH29,6,B6_N2,,,,,
,Unknown,PIN_AH28,6,B6_N2,,,,,
,Unknown,PIN_AH30,6,B6_N2,,,,,
,Unknown,PIN_AJ29,6,B6_N2,,,,,
,Unknown,PIN_AE28,6,B6_N2,,,,,
,Unknown,PIN_AD28,6,B6_N2,,,,,
,Unknown,PIN_AF29,,,,,,,
,Unknown,PIN_AF30,6,B6_N2,,,,,
,Unknown,PIN_AA25,6,B6_N2,,,,,
,Unknown,PIN_Y22,6,B6_N2,,,,,
,Unknown,PIN_Y21,6,B6_N2,,,,,
,Unknown,PIN_AC28,,,,,,,
,Unknown,PIN_AE29,,,,,,,
,Unknown,PIN_AE30,,,,,,,
,Unknown,PIN_AD29,6,B6_N2,,,,,
,Unknown,PIN_AD30,6,B6_N2,,,,,
,Unknown,PIN_AA26,6,B6_N1,,,,,
,Unknown,PIN_W24,6,B6_N1,,,,,
,Unknown,PIN_Y26,6,B6_N1,,,,,
,Unknown,PIN_Y25,6,B6_N1,,,,,
,Unknown,PIN_W26,6,B6_N1,,,,,
,Unknown,PIN_W22,6,B6_N1,,,,,
,Unknown,PIN_W21,6,B6_N1,,,,,
,Unknown,PIN_AC29,6,B6_N1,,,,,
,Unknown,PIN_AC30,6,B6_N1,,,,,
,Unknown,PIN_V24,6,B6_N1,,,,,
,Unknown,PIN_AA28,6,B6_N1,,,,,
,Unknown,PIN_V22,6,B6_N1,,,,,
,Unknown,PIN_AB29,6,B6_N1,,,,,
,Unknown,PIN_AB30,6,B6_N1,,,,,
,Unknown,PIN_V21,6,B6_N1,,,,,
,Unknown,PIN_Y28,6,B6_N1,,,,,
,Unknown,PIN_AA29,,,,,,,
,Unknown,PIN_AA30,,,,,,,
,Unknown,PIN_W28,6,B6_N1,,,,,
,Unknown,PIN_Y29,6,B6_N1,,,,,
,Unknown,PIN_Y30,6,B6_N1,,,,,
,Unknown,PIN_V23,6,B6_N0,,,,,
,Unknown,PIN_W29,6,B6_N0,,,,,
,Unknown,PIN_W30,6,B6_N0,,,,,
,Unknown,PIN_V28,6,B6_N0,,,,,
,Unknown,PIN_V29,,,,,,,
,Unknown,PIN_V27,6,B6_N0,,,,,
,Unknown,PIN_U25,,,,,,,
,Unknown,PIN_U24,,,,,,,
,Unknown,PIN_U23,,,,,,,
,Unknown,PIN_U26,6,B6_N0,,,,,
,Unknown,PIN_U27,6,B6_N0,,,,,
,Unknown,PIN_U28,,,,,,,
,Unknown,PIN_U22,6,B6_N0,,,,,
,Unknown,PIN_T27,6,B6_N0,,,,,
